source_number,destination_number,is_carting,is_ftl,start_hour,osrm_time,osrm_distance,actual_distance,actual_time,real_actual_time_factor,data
2,564,1,0,22,-0.3435,-0.3116,-0.2935,-0.4038,1.875,training
2,643,1,0,1,-0.3461,-0.3109,-0.292,-0.3418,2.6769,training
2,643,1,0,2,-0.3514,-0.315,-0.2924,-0.2533,3.993,training
2,643,1,0,5,-0.3593,-0.3183,-0.2956,-0.3456,2.8621,training
2,643,1,0,6,-0.3435,-0.3112,-0.2918,-0.3178,2.9375,training
2,643,1,0,7,-0.333,-0.3064,-0.29,-0.3962,1.8529,training
2,643,1,0,14,-0.3435,-0.3097,-0.2917,-0.3836,2.125,training
2,643,1,0,16,-0.3435,-0.3097,-0.2918,-0.376,2.2188,training
2,643,1,0,18,-0.3487,-0.3121,-0.2916,-0.419,1.7419,training
2,643,1,0,19,-0.3382,-0.3078,-0.2907,-0.3785,2.1212,training
2,643,1,0,20,-0.3435,-0.3104,-0.2909,-0.3642,2.3675,training
2,643,1,0,21,-0.3487,-0.3128,-0.2929,-0.3279,2.9032,training
2,643,1,0,23,-0.3593,-0.3184,-0.2956,-0.4215,1.8276,training
2,760,1,0,0,-0.3645,-0.3206,-0.3002,-0.3659,2.6786,training
2,760,1,0,1,-0.3466,-0.3095,-0.2891,-0.3289,2.8579,training
2,872,0,1,15,0.0004,0.0489,0.0756,-0.1125,1.7986,training
2,872,0,1,16,0.0042,0.0544,0.0787,-0.1206,1.7525,training
2,872,0,1,18,0.0036,0.0514,0.0788,-0.1332,1.7041,training
2,897,1,0,0,-0.3803,-0.3642,-0.3832,-0.4013,2.44,training
2,897,1,0,5,-0.3856,-0.3685,-0.3859,-0.3785,2.9167,training
2,897,1,0,7,-0.3698,-0.3611,-0.386,-0.4063,2.1852,training
2,897,1,0,19,-0.3698,-0.3606,-0.3855,-0.3684,2.7407,training
2,950,0,1,19,-0.1594,-0.133,-0.1444,-0.1408,2.4478,training
2,950,0,1,21,-0.1594,-0.1304,-0.1435,-0.1396,2.4512,training
2,950,0,1,22,-0.1607,-0.1338,-0.1455,-0.1004,2.6965,training
2,1122,1,0,0,-0.3566,-0.3468,-0.3561,-0.0827,6.2868,training
2,1122,1,0,1,-0.3698,-0.3518,-0.3566,-0.3583,2.8727,training
2,1122,1,0,2,-0.3593,-0.3485,-0.3564,-0.3911,2.2414,training
2,1122,1,0,4,-0.3908,-0.3635,-0.362,-0.3734,3.1304,training
2,1122,1,0,5,-0.375,-0.354,-0.3574,-0.424,2.0,training
2,1122,1,0,8,-0.3593,-0.3479,-0.357,-0.3747,2.4655,training
2,1122,1,0,11,-0.375,-0.358,-0.3657,-0.1712,5.8462,training
2,1122,1,0,15,-0.3645,-0.3494,-0.3557,-0.2394,4.4643,training
2,1122,1,0,19,-0.3628,-0.3471,-0.3556,-0.4206,1.8646,training
2,1122,1,0,20,-0.3677,-0.3496,-0.3543,-0.42,1.9523,training
2,1122,1,0,21,-0.3593,-0.3465,-0.3542,-0.4114,1.9655,training
2,1122,1,0,23,-0.3593,-0.3485,-0.3563,-0.4088,2.0,training
2,1335,1,0,1,-0.3978,-0.3695,-0.3596,-0.3566,3.619,training
2,1335,1,0,2,-0.3882,-0.3688,-0.3634,-0.2571,4.9873,training
2,1335,1,0,12,-0.3908,-0.3679,-0.3621,-0.4139,2.4348,training
2,1335,1,0,14,-0.4013,-0.3733,-0.3627,-0.4202,2.5636,training
2,1335,1,0,15,-0.3961,-0.3706,-0.3619,-0.4291,2.2727,training
2,1335,1,0,19,-0.3856,-0.3659,-0.3577,-0.4088,2.4167,training
2,1335,1,0,20,-0.3974,-0.3712,-0.3624,-0.4442,2.0164,training
2,1335,1,0,22,-0.3961,-0.3696,-0.36,-0.4442,2.0,training
2,1336,1,0,0,-0.3961,-0.3697,-0.3609,-0.4544,1.8182,training
2,1336,1,0,1,-0.3961,-0.3721,-0.3602,-0.4114,2.5909,training
2,1336,1,0,2,-0.3987,-0.3719,-0.3618,-0.3937,2.961,training
2,1336,1,0,3,-0.3856,-0.3615,-0.3593,-0.2344,5.2917,training
2,1336,1,0,8,-0.4276,-0.3904,-0.3792,-0.3937,4.0,training
2,1336,1,0,14,-0.395,-0.3705,-0.3625,-0.3527,3.5319,training
2,1336,1,0,15,-0.3908,-0.3689,-0.3622,-0.3557,3.4348,training
2,1336,1,0,16,-0.4066,-0.376,-0.364,-0.4038,3.0,training
