hub_name,hub_number,bottleneck_score,delay_ratio,delay_hours,sla_breach,sla_breach_contribution,betweenness_centrality,closeness_centrality,degree_centrality
Solapur_Central_I_2 (Maharashtra),58,0.127359,0.8573059008606065,3.8324999999999996,0.0,0.005427183640148562,0.0033642915025041825,0.1363026803955672,0.005765534913516976
Kakinada_DC (Andhra Pradesh),59,0.069911,0.9355412673379432,0.6033999999999999,0.0,0.38750557043333705,0.00041639974375400383,0.10849540990881741,0.0025624599615631004
Tuni_Eaglvari_D (Andhra Pradesh),60,0.054091,0.9240526849037488,0.38249999999999995,0.0,0.051062111484693896,2.0532531743294075e-07,0.09300698682008686,0.0019218449711723253
Purnia_Central_H_2 (Bihar),61,0.168046,0.9344680851063831,13.017099999999996,0.0,0.0,0.018371482777312372,0.11668627625094348,0.008968609865470852
Supaul_SadrHsptl_D (Bihar),62,0.074653,0.8889113065934953,0.6282999999999999,0.0,0.0,0.0004102399842310156,0.09902139211933028,0.0025624599615631004
Saharsa_Gangjala_D (Bihar),63,0.078206,0.8781357649442756,1.9707,0.0,0.0,8.21301269731763e-07,0.09903625127180916,0.0032030749519538753
Madhepura_Krishnpr_D (Bihar),64,0.075366,0.9511504711067977,1.0005000000000002,0.0,0.0,0.0004102399842310156,0.09902139211933028,0.0025624599615631004
Triveninganj_Central_D_1 (Bihar),65,0.073228,1.0594039386954588,2.2506,0.0,0.0739168436208045,0.00121347262602868,0.08597936144806362,0.0019218449711723253
Visakhapatnam_Gajuwaka_IP (Andhra Pradesh),66,0.173681,-4.639705882352942,4.6472,0.0,0.29870939243773903,0.017496687418212052,0.1297380732210215,0.012171684817424727
Anakapalle_Kothuru_D (Andhra Pradesh),67,0.111907,1.079190385831752,0.3381,0.0,0.005087111188877449,0.0008217119203666289,0.10821078512466573,0.0025624599615631004
Narsiptnm_Wardno8_D (Andhra Pradesh),68,0.104769,1.3216951296647692,0.0,0.0,0.19477300257048188,0.0,0.09278470103688125,0.0012812299807815502
Ranchi_Hub (Jharkhand),69,0.162353,0.7996843989925045,16.1954,0.0,0.0,0.004731145073874093,0.14581917332641103,0.006406149903907751
Ramgarh_HotelPrk_D (Jharkhand),70,0.121485,1.1730745147150907,0.11880000000000002,0.0,0.40660553002527616,0.0008323888368731418,0.11919407232713315,0.0012812299807815502
Hazaribag_BodomBzr_DC (Jharkhand),71,0.105734,0.9843429158110883,0.3229,0.0,0.0006149255283258452,0.000821301269731763,0.1007907114348406,0.0012812299807815502
JhumriTlya_RadhaCpx_D (Jharkhand),72,0.131292,0.9918184217471628,0.2579,0.0,1.5307918833929763,0.0008102137025903843,0.0873101704557926,0.0012812299807815502
Beawar_DC (Rajasthan),73,0.208433,18.21578947368421,1.3232,1.0,0.015992722263201725,0.0,0.10326671545538042,0.0012812299807815502
Bilara_Central_DPP_2 (Rajasthan),74,0.104543,471.6666666666667,0.0,0.0,0.0017748986840314168,0.0024799191839550584,0.10334756944493209,0.0025624599615631004
Bijainagar_Central_DPP_1 (Rajasthan),75,0.103191,0.9228680065181966,1.7720999999999998,0.0,0.013784580593304374,0.002852789960413279,0.0786249199994444,0.0019218449711723253
Kekri_LxmntDPP_D (Rajasthan),76,0.094847,0.9506605554057698,0.08870000000000001,0.0,0.00967576001767259,0.0028417023932719,0.07018051663923185,0.0012812299807815502
Nasirabad_Central_DPP_2 (Rajasthan),77,0.092018,0.6852254209668659,0.09289999999999998,0.0,0.012806289980058711,0.002830614826130521,0.06337407129588403,0.0012812299807815502
Hyderabad_Uppal_I (Telangana),78,0.139302,1.0624660510592068,3.4353000000000002,0.0,0.14640351953557845,0.004906864436012418,0.12938199930902494,0.005765534913516976
Bhuvanagiri_HBColny_D (Telangana),79,0.076355,0.34775420225957565,0.0534,0.0,0.0,0.0008323888368731418,0.10794530233486038,0.0019218449711723253
Mothkur_Mainroad_D (Telangana),80,0.050693,0.9578092243186582,0.0,0.0,0.0,0.0,0.09261543340939325,0.0012812299807815502
Thirumalagiri_Xroad_D (Telangana),81,0.069781,1.0195396145610278,0.009899999999999999,0.0,0.0,0.0008102137025903843,0.09264143437329257,0.0019218449711723253
Madhupur_Sitarmrd_D (Jharkhand),82,0.07382,1.0334582441113491,0.0,0.0,0.1309791375334051,0.0006458850068715419,0.10914132271793224,0.0032030749519538753
Khammam_NSTRoad_I (Telangana),83,0.133648,0.984903695991671,5.521999999999999,0.0,0.0,0.0049269863171208465,0.11724597237081831,0.006406149903907751
Kodad_VidyaNgr_D (Telangana),84,0.057096,0.7992505353319057,0.33569999999999994,0.0,0.0,0.0,0.09936428462441077,0.0025624599615631004
Mumbai Hub (Maharashtra),85,0.165944,0.9016863354984296,10.741,0.0,0.0,0.005143453155144387,0.13146963714648133,0.012812299807815501
Jaipur_Central_I_7 (Rajasthan),86,0.091973,0.9507494646680943,3.4514,0.0,0.0034473097800085282,7.76129699896516e-05,0.004163997437540038,0.011531069827033951
Guwahati_Hub (Assam),87,0.28929,1.1454971369078606,44.2318,0.0,0.0,0.04405858276774349,0.1326588097437862,0.017937219730941704
Morbi_DC (Gujarat),88,0.011471,0.6984615384615385,0.0,0.0,0.0,0.0,0.0,0.0012812299807815502
Wankaner_JivanDPP_D (Gujarat),89,0.01177,1.0099560761346997,0.0,0.0,0.0010202173538133336,0.0,0.0006406149903907751,0.0012812299807815502
BLR_JPNagar_Pc (Karnataka),90,0.074423,0.9095566189464488,1.3077,0.0,0.010654050630918248,0.0,0.1319427385996274,0.0032030749519538753
Bengaluru_KGAirprt_HB (Karnataka),91,0.150696,0.851795961320811,8.2445,0.0,0.07089345977320242,0.005722211271538626,0.13210119665238917,0.010249839846252402
Kolkata_Dankuni_HB (West Bengal),92,0.503209,0.7455249595950355,104.60050000000001,0.0,0.9071083248152173,0.08650559558508146,0.16179886699566962,0.02626521460602178
Bhubaneshwar_Hub (Orissa),93,0.205771,0.9524651033496814,23.290000000000003,0.0,0.0015932161415715097,0.01596375868255331,0.15602306819747905,0.010890454836643177
Alwar_Central_I_1 (Rajasthan),94,0.280522,16.199074074074073,6.412100000000001,1.0,0.038358309092689495,0.003279045319404064,0.1407802001867185,0.004484304932735426
Bharatpur_NraynDPP_D (Rajasthan),95,0.092383,1.1254752851711025,0.0,0.0,0.6355907528989779,0.0006233676637264081,0.11576523039384955,0.0019218449711723253
Bharatpur_DC (Rajasthan),96,0.085442,0.8938296277791656,2.0627,0.0,0.0,0.0004057228272474909,0.09835731422881316,0.0025624599615631004
Weir_BsstdDPP_D (Rajasthan),97,0.060023,0.9255507723474298,0.0,0.0,0.0,0.0,0.0,0.0006406149903907751
Kherli_GodamDPP_D (Rajasthan),98,0.105456,1.1303496503496504,3.8674999999999997,0.0,0.02945120598542421,0.000613512048489627,0.11578554008339234,0.0025624599615631004
Kolkata_North_I_4 (West Bengal),99,0.06754,0.7267049712715463,2.9016,0.0,0.019025423164263283,1.1498217776244682e-05,0.0022879106799670542,0.0038436899423446506
Bagnan_Harop_D (West Bengal),100,0.012891,0.7234742972904533,0.3836,0.0,0.0,6.570410157854104e-06,0.0016015374759769379,0.0012812299807815502
Kolaghat_Central_DPP_2 (West Bengal),101,0.047355,0.3430583501006036,0.08230000000000001,0.0,0.02027390832783394,7.802362062451749e-06,0.0012319519045976446,0.0019218449711723253
Delhi_Airport_H (Delhi),102,0.279178,0.930848961974528,34.3214,0.0,0.0,0.033488722555826946,0.14797703553258662,0.02498398462524023
Guwahati_North (Assam),103,0.108534,1.0986465382613222,0.15349999999999997,0.0,0.004844867798930907,0.0,0.11019829328357594,0.0012812299807815502
Mumbai_Sanpada_I (Maharashtra),104,0.150158,0.9079681639374256,3.9779999999999998,0.0,0.5264181789874917,0.0036970876656975313,0.12716330991817656,0.007687379884689301
Delhi_North_R_8 (Delhi),105,0.116628,1.0159880089932551,0.8972,0.0,0.11614172989917923,0.0,0.12056587111350682,0.0012812299807815502
