,source_number,destination_number,osrm_time,osrm_distance
121,17,303,32.666666666666664,36.73451666666667
122,17,359,34.76190476190476,44.071999999999996
123,17,410,33.666666666666664,44.578149999999994
124,17,418,34.5,35.802350000000004
125,17,419,138.6153846153846,152.5143153846154
126,17,595,36.25,45.5152125
127,17,613,34.84615384615385,36.07859230769231
128,17,638,33.0,36.90611111111111
129,17,731,83.84615384615384,107.81002307692307
130,17,935,150.42857142857142,186.56570714285712
131,17,949,128.33333333333334,155.01346666666666
132,17,1101,36.55,45.278014999999996
133,18,19,50.285714285714285,70.38493571428572
134,18,176,65.01666666666667,92.71912999999999
135,18,198,56.25,76.4167625
136,18,199,117.0,154.5822
137,18,728,111.0,155.23260000000002
138,18,737,25.333333333333332,35.751200000000004
139,18,1029,62.166666666666664,78.71466666666667
140,18,1036,32.0,43.52075
141,18,1324,37.0,51.5829
142,19,18,52.6875,74.899
143,19,176,116.0,162.17829999999998
144,19,728,64.33333333333333,85.70466666666665
145,19,730,14.1,15.19246
146,19,1167,16.333333333333332,19.438100000000002
147,20,30,34.0,35.6947
148,20,1480,34.96875,36.252034375
149,21,22,107.81818181818181,145.13101818181818
150,21,23,214.5,302.1241
151,21,30,164.84615384615384,222.21139230769228
152,21,94,116.78571428571429,146.19355000000002
153,21,102,205.0,265.9639714285714
154,21,281,288.375,405.6995875
155,21,808,38.333333333333336,52.01073333333333
156,22,23,122.83333333333333,166.41307500000002
157,22,73,44.833333333333336,56.690641666666664
158,22,74,96.0,130.313
159,22,860,26.166666666666668,29.87946666666667
160,23,21,215.9090909090909,302.55276363636364
161,23,22,122.73333333333333,166.48538
162,23,24,53.733333333333334,69.63305333333332
163,23,628,86.33333333333333,118.28846666666668
164,24,47,75.33333333333333,104.51613333333334
165,24,1322,50.0,61.12773333333333
166,24,1323,93.2,102.20327999999999
167,25,1481,21.40909090909091,26.481459090909087
168,26,27,392.07142857142856,550.7206785714286
169,26,30,584.3076923076923,814.2755692307692
170,26,254,43.25,49.85385
171,26,389,12.058823529411764,12.92220588235294
172,26,475,21.0,20.8394
173,26,578,68.1,96.83993
174,26,640,12.5,14.0348
175,26,686,216.8,288.8687
176,26,1382,51.5,73.69635
177,27,28,49.333333333333336,70.22204166666667
178,27,30,327.8333333333333,445.7271625
179,27,102,341.75,468.326425
180,27,269,157.92857142857142,209.36550714285713
181,27,502,40.53846153846154,53.69330000000001
182,27,650,28.454545454545453,39.91553636363636
183,27,849,81.41666666666667,105.97889166666666
184,27,992,57.416666666666664,57.291783333333335
185,27,1014,48.142857142857146,63.15672857142857
186,27,1097,231.0,326.2439
187,27,1098,182.5,259.09979999999996
188,27,1176,20.0,22.140492307692305
189,27,1345,58.46153846153846,83.04261538461539
190,28,29,53.0,75.38261818181819
191,29,30,232.92307692307693,310.7560230769231
192,30,2,963.0384615384615,1322.6895923076922
193,30,4,1508.1818181818182,2063.7743090909094
194,30,14,97.5068493150685,95.26924931506849
195,30,17,1610.5,2190.7187000000004
196,30,21,168.75,221.42210416666668
197,30,26,588.5,814.1379083333333
198,30,27,321.0,444.5723
199,30,31,632.0,872.9882384615383
200,30,57,1010.2,1361.8797933333333
201,30,69,850.7777777777778,1192.536022222222
202,30,92,1015.9411764705883,1428.1231823529413
203,30,93,1166.6923076923076,1638.8492153846153
204,30,94,91.33333333333333,114.76131666666667
205,30,109,1166.047619047619,1563.5852238095238
206,30,113,737.6666666666666,995.7692499999999
207,30,124,76.77777777777777,72.5960777777778
208,30,176,212.53658536585365,281.2045463414634
209,30,189,38.3,38.54285
210,30,195,38.57692307692308,39.03842307692308
211,30,200,34.76923076923077,35.793246153846155
212,30,232,65.30434782608695,78.18903913043478
213,30,339,694.375,913.416925
214,30,384,78.55555555555556,75.45851111111112
215,30,393,646.1428571428571,901.01945
216,30,436,1282.4,1728.59758
217,30,443,65.84210526315789,77.4287105263158
218,30,444,58.0,55.906802631578955
219,30,448,68.0,65.72460000000001
220,30,623,253.0,304.9602
221,30,641,135.35714285714286,170.38251428571428
222,30,747,66.5,60.942933333333336
223,30,795,81.4074074074074,80.2418037037037
224,30,894,135.5,170.5305
225,30,927,62.529411764705884,61.00107647058823
226,30,929,55.0,52.11348888888889
227,30,971,90.8,113.36578
228,30,1094,66.83333333333333,64.91278333333334
229,30,1115,73.6,69.61042
230,30,1121,47.7,50.226980000000005
231,30,1149,168.85714285714286,221.58015
232,30,1186,50.22727272727273,48.83549090909091
233,30,1197,197.8,245.94444
234,30,1278,119.0,152.07659999999998
235,30,1347,76.5,71.45686923076923
236,30,1387,99.0,123.8015
237,30,1424,56.0,62.9226
238,31,30,629.5454545454545,875.7175727272727
239,31,32,200.68,272.800036
240,31,50,84.38461538461539,94.56303846153847
241,31,54,16.5,19.34244230769231
242,31,281,195.36363636363637,273.53497272727276
243,31,408,98.4,136.75186
244,31,504,63.44444444444444,80.02598888888889
245,31,569,22.73913043478261,27.119065217391306
246,31,907,320.5,312.928475
247,31,1226,131.36363636363637,157.49630909090908
