data,source_number,destination_number,is_carting,is_ftl,day_of_week,start_hour,is_day,is_night,is_cutoff,osrm_time,osrm_distance,actual_distance,actual_time,real_actual_time_factor
training,130,131,0,1,3,0,0,1,0,27.0,29.1058,27.05242215360466,42.0,1.5555555555555556
training,131,132,0,1,3,1,0,1,0,29.0,29.3558,26.871597483085445,38.0,1.3103448275862069
training,132,133,0,1,3,2,0,1,0,132.0,59.5273,25.079680407833884,101.0,0.7651515151515151
training,133,134,0,1,3,4,0,1,0,123.0,57.021800000000006,30.65876262365451,106.0,0.8617886178861789
training,134,1396,0,1,3,6,0,1,0,23.0,26.2449,23.085834837180105,31.0,1.3478260869565215
training,141,142,1,0,3,23,0,1,0,22.0,19.4178,17.199712133736085,24.0,1.0909090909090908
training,142,143,1,0,4,0,0,1,0,15.0,14.9466,13.901297897404868,19.0,1.2666666666666666
training,143,1308,1,0,4,1,0,1,0,21.0,22.6208,13.455436482220382,31.0,1.4761904761904765
training,144,1237,1,0,5,1,0,1,0,17.0,24.9835,23.23254941791944,60.0,3.5294117647058822
training,111,14,1,0,6,20,0,1,0,53.0,44.0176,41.86859783454059,72.0,1.3584905660377358
training,2,85,1,0,2,16,1,0,0,20.0,25.5695,20.811780861662008,39.0,1.95
training,6,7,0,1,0,2,0,1,0,33.0,42.2554,38.25788222871859,56.0,1.696969696969697
training,7,8,0,1,0,3,0,1,0,38.0,25.5305,21.923449395585894,65.0,1.7105263157894737
training,8,18,0,1,0,4,0,1,0,57.0,60.223,38.21678225123774,66.0,1.1578947368421053
training,57,2,0,1,2,21,0,1,0,103.0,130.3114,101.50589052295396,198.0,1.922330097087379
training,127,4,1,0,1,17,1,0,0,20.0,14.0655,10.823216369462608,36.0,1.8
training,66,145,1,0,2,0,0,1,0,23.0,24.2574,17.872711028011057,71.0,3.0869565217391304
training,145,146,1,0,2,1,0,1,0,21.0,25.5953,19.163677812765744,38.0,1.809523809523809
training,146,147,1,0,2,2,0,1,0,21.0,26.788400000000003,24.74182782851249,50.0,2.380952380952381
training,147,66,1,0,2,3,0,1,0,55.0,70.9459,50.90739971026607,190.0,3.4545454545454546
training,31,1487,1,0,2,23,0,1,0,17.0,20.5318,15.707982072991651,67.0,3.941176470588236
training,148,31,1,0,3,0,0,1,0,13.0,16.667,13.962040063439286,205.0,15.76923076923077
training,150,232,1,0,0,4,0,1,0,11.0,12.0788,10.246691481850144,20.0,1.818181818181818
training,17,303,1,0,6,7,0,1,0,32.0,36.3055,31.42571882631067,92.0,2.875
training,151,1488,1,0,1,17,1,0,0,29.0,29.567,20.569779188984548,189.0,6.517241379310345
training,30,1186,1,0,3,14,1,0,0,51.0,46.2852,38.46342605884696,105.0,2.0588235294117645
training,33,34,0,1,3,0,0,1,0,23.0,32.3291,29.67139220362542,42.0,1.826086956521739
training,34,35,0,1,3,2,0,1,0,29.0,41.6025,38.47729013334492,60.0,2.0689655172413794
training,35,36,0,1,3,3,0,1,0,21.0,30.3344,27.80068320023158,46.0,2.1904761904761907
training,36,37,0,1,3,4,0,1,0,15.0,21.5056,18.069505805271245,48.0,3.2
training,152,153,0,1,0,21,0,1,0,31.0,40.006800000000005,34.357923934142484,70.0,2.2580645161290325
training,153,559,0,1,0,22,0,1,0,44.0,59.7083,42.30169510941562,70.0,1.5909090909090908
training,154,155,0,1,1,4,0,1,0,20.0,27.9856,22.952837171310374,37.0,1.85
training,155,156,0,1,1,5,0,1,0,56.0,65.19409999999999,46.67286438570754,95.0,1.6964285714285714
training,156,152,0,1,1,7,0,1,0,40.0,43.6704,35.85000889974045,81.0,2.025
training,91,90,1,0,2,3,0,1,0,42.0,40.4246,35.1600058021686,134.0,3.1904761904761907
training,159,1489,1,0,4,4,0,1,0,11.0,14.0229,10.9184296959155,40.0,3.636363636363636
training,160,161,1,0,2,8,1,0,0,20.0,26.6704,24.47405148269984,49.0,2.45
training,161,200,1,0,2,9,1,0,0,26.0,33.8513,31.752910764447847,140.0,5.384615384615385
training,162,1214,0,1,2,11,1,0,0,17.0,21.0327,20.08630360898645,36.0,2.117647058823529
training,163,164,1,0,1,22,0,1,0,23.0,31.4231,24.3594621405582,53.0,2.3043478260869565
training,164,165,1,0,2,1,0,1,0,14.0,20.6804,19.16764586306021,50.0,3.571428571428572
training,165,166,1,0,2,2,0,1,0,10.0,14.3966,9.4649172651798,44.0,4.4
training,166,167,1,0,2,3,0,1,0,45.0,46.2845,27.84923240791165,66.0,1.4666666666666666
training,167,370,1,0,2,4,0,1,0,35.0,32.9611,23.93406963937531,55.0,1.5714285714285714
training,85,104,1,0,1,17,1,0,0,18.0,20.6918,13.22879412969522,47.0,2.611111111111111
training,85,564,1,0,0,3,0,1,0,18.0,18.8123,16.078061327252573,125.0,6.944444444444445
