source_number,destination_number,is_carting,is_ftl,start_hour,osrm_time,osrm_distance,actual_distance,actual_time,real_actual_time_factor,data
2,31,0,1,19,359.0,493.5854000000001,410.9055391806662,750.0,2.0891364902506964,training
2,31,0,1,20,356.0,491.1946,409.77333849210737,742.0,2.0842696629213484,training
2,31,0,1,21,358.5,492.95075,410.03588523116457,752.5,2.0990803130981464,training
2,31,0,1,22,358.0,493.1457666666667,411.0043386469824,754.0,2.1060726308855036,training
2,31,0,1,23,357.0,492.2392,410.054171540595,735.0,2.0588235294117645,training
2,32,0,1,13,189.0,253.4719,207.3989654951271,596.0,3.153439153439153,training
2,32,0,1,14,189.0,253.5541,207.32544313293653,359.0,1.8994708994708995,training
2,32,0,1,15,189.25,253.625225,207.33554077201768,476.75,2.5192715091511286,training
2,57,0,1,0,97.0,130.8912,101.24419941044836,244.0,2.515463917525773,training
2,57,0,1,5,98.0,130.83276666666666,101.16939453197718,291.3333333333333,2.965155446746021,training
2,57,0,1,6,96.0,129.99465,100.88464266552663,198.5,2.0662506782419965,training
2,57,0,1,7,96.6,130.09297999999998,100.98553230015654,234.3,2.4221435455913403,training
2,57,0,1,8,98.0,130.97310000000002,101.29333732460726,205.0,2.091836734693877,training
2,57,0,1,9,99.0,131.44879999999998,101.6785452039873,359.0,3.6262626262626254,training
2,57,0,1,11,95.66666666666667,129.49480000000003,100.77879090943655,253.0,2.646590703563031,training
2,57,0,1,12,96.66666666666667,130.2061,100.91523732427429,215.66666666666666,2.2337699919902847,training
2,57,0,1,13,98.0,131.1552,101.4373144691315,222.0,2.2642938254131186,training
2,57,0,1,14,97.0,130.3063,101.19349557767812,221.33333333333334,2.282948128417472,training
2,57,0,1,15,99.0,131.4639,101.63627996383426,235.0,2.3737373737373737,training
2,57,0,1,16,95.33333333333333,129.3606,100.62735534185033,203.66666666666666,2.137154577604353,training
2,57,0,1,18,98.0,130.81560000000002,101.14673371971152,259.0,2.642857142857143,training
2,57,0,1,19,97.8,130.98004,101.37779264855331,198.9,2.035440569558855,training
2,57,0,1,21,98.25,131.214325,101.48811535108531,242.625,2.46606529209622,training
2,57,0,1,22,97.5,130.61313333333334,101.14245528514668,196.66666666666666,2.0164594703312635,training
2,57,0,1,23,97.15384615384616,130.4942153846154,101.13138133493611,210.6153846153846,2.1679471412670392,training
2,58,0,1,19,309.0,411.0522,350.07867545835603,618.0,2.0,training
2,58,0,1,20,309.75,411.68877499999996,350.4500686602824,664.0,2.1435753283123886,training
2,58,0,1,21,309.5,412.082,350.40219646063485,648.0,2.0935692661029335,training
2,69,0,1,2,1140.0,1589.5032,1356.6195693972677,2622.0,2.3,training
2,85,1,0,0,24.0,27.929,21.443610029531705,50.0,2.083333333333333,training
2,85,1,0,1,23.5,28.3486,21.74274129810491,58.0,2.461818181818182,training
2,85,1,0,2,23.0,27.9303,21.69941341954771,80.33333333333333,3.4769696969696966,training
2,85,1,0,3,23.0,27.986,21.58012537476688,106.66666666666667,4.55050505050505,training
2,85,1,0,4,21.666666666666668,26.74876666666667,21.337715664882477,63.666666666666664,2.911133069828722,training
2,85,1,0,5,21.0,26.392049999999998,21.29747320658118,58.5,2.781818181818182,training
2,85,1,0,6,22.0,26.78895,20.93058542169608,70.0,3.1416666666666666,training
2,85,1,0,7,21.0,26.360599999999998,21.14205145811567,60.0,2.843181818181818,training
2,85,1,0,10,21.666666666666668,26.693066666666667,21.359467820989043,62.0,2.86429512516469,training
2,85,1,0,11,22.0,27.07948,21.290968644318262,68.0,3.0737572934312065,training
2,85,1,0,12,26.0,29.0161,21.763883653491533,147.0,5.653846153846154,training
2,85,1,0,15,22.0,27.5405,21.770876165053355,44.0,2.0,training
